field,year,women_mentorship,number_women_inventors
civil engineering,1976,only new inventors,5
civil engineering,1976,only new inventors,5
civil engineering,1976,only new inventors,5
civil engineering,1976,only new inventors,5
civil engineering,1976,only new inventors,5
pharmaceuticals,1976,only new inventors,1
civil engineering,1977,only new inventors,1
civil engineering,1977,new and senior inventors,4
civil engineering,1977,new and senior inventors,4
civil engineering,1977,new and senior inventors,4
civil engineering,1977,new and senior inventors,4
pharmaceuticals,1977,only new inventors,2
pharmaceuticals,1977,only new inventors,2
civil engineering,1978,only new inventors,2
civil engineering,1978,only new inventors,2
civil engineering,1978,new and senior inventors,1
pharmaceuticals,1978,only new inventors,1
civil engineering,1979,only new inventors,1
civil engineering,1979,only senior inventors,1
civil engineering,1979,new and senior inventors,3
civil engineering,1979,new and senior inventors,3
civil engineering,1979,new and senior inventors,3
pharmaceuticals,1979,only senior inventors,2
pharmaceuticals,1979,only senior inventors,2
civil engineering,1980,only new inventors,1
civil engineering,1980,new and senior inventors,1
pharmaceuticals,1980,only new inventors,2
pharmaceuticals,1980,only new inventors,2
pharmaceuticals,1980,new and senior inventors,1
pharmaceuticals,1981,only new inventors,2
pharmaceuticals,1981,only new inventors,2
pharmaceuticals,1981,only senior inventors,3
pharmaceuticals,1981,only senior inventors,3
pharmaceuticals,1981,only senior inventors,3
pharmaceuticals,1981,new and senior inventors,1
pharmaceuticals,1982,only new inventors,3
pharmaceuticals,1982,only new inventors,3
pharmaceuticals,1982,only new inventors,3
pharmaceuticals,1982,new and senior inventors,2
pharmaceuticals,1982,new and senior inventors,2
civil engineering,1983,only senior inventors,2
civil engineering,1983,only senior inventors,2
pharmaceuticals,1983,new and senior inventors,2
pharmaceuticals,1983,new and senior inventors,2
civil engineering,1984,only new inventors,1
civil engineering,1984,only senior inventors,3
civil engineering,1984,only senior inventors,3
civil engineering,1984,only senior inventors,3
pharmaceuticals,1984,only new inventors,5
pharmaceuticals,1984,only new inventors,5
pharmaceuticals,1984,only new inventors,5
pharmaceuticals,1984,only new inventors,5
pharmaceuticals,1984,only new inventors,5
pharmaceuticals,1984,only senior inventors,2
pharmaceuticals,1984,only senior inventors,2
civil engineering,1985,only new inventors,2
civil engineering,1985,only new inventors,2
civil engineering,1985,only senior inventors,3
civil engineering,1985,only senior inventors,3
civil engineering,1985,only senior inventors,3
civil engineering,1985,new and senior inventors,2
civil engineering,1985,new and senior inventors,2
pharmaceuticals,1985,only new inventors,10
pharmaceuticals,1985,only new inventors,10
pharmaceuticals,1985,only new inventors,10
pharmaceuticals,1985,only new inventors,10
pharmaceuticals,1985,only new inventors,10
pharmaceuticals,1985,only new inventors,10
pharmaceuticals,1985,only new inventors,10
pharmaceuticals,1985,only new inventors,10
pharmaceuticals,1985,only new inventors,10
pharmaceuticals,1985,only new inventors,10
pharmaceuticals,1985,only senior inventors,3
pharmaceuticals,1985,only senior inventors,3
pharmaceuticals,1985,only senior inventors,3
civil engineering,1986,only senior inventors,1
civil engineering,1986,new and senior inventors,2
civil engineering,1986,new and senior inventors,2
pharmaceuticals,1986,only new inventors,5
pharmaceuticals,1986,only new inventors,5
pharmaceuticals,1986,only new inventors,5
pharmaceuticals,1986,only new inventors,5
pharmaceuticals,1986,only new inventors,5
pharmaceuticals,1986,only senior inventors,3
pharmaceuticals,1986,only senior inventors,3
pharmaceuticals,1986,only senior inventors,3
pharmaceuticals,1986,new and senior inventors,3
pharmaceuticals,1986,new and senior inventors,3
pharmaceuticals,1986,new and senior inventors,3
civil engineering,1987,only new inventors,2
civil engineering,1987,only new inventors,2
civil engineering,1987,only senior inventors,1
civil engineering,1987,new and senior inventors,2
civil engineering,1987,new and senior inventors,2
pharmaceuticals,1987,only new inventors,10
pharmaceuticals,1987,only new inventors,10
pharmaceuticals,1987,only new inventors,10
pharmaceuticals,1987,only new inventors,10
pharmaceuticals,1987,only new inventors,10
pharmaceuticals,1987,only new inventors,10
pharmaceuticals,1987,only new inventors,10
pharmaceuticals,1987,only new inventors,10
pharmaceuticals,1987,only new inventors,10
pharmaceuticals,1987,only new inventors,10
pharmaceuticals,1987,only senior inventors,7
pharmaceuticals,1987,only senior inventors,7
pharmaceuticals,1987,only senior inventors,7
pharmaceuticals,1987,only senior inventors,7
pharmaceuticals,1987,only senior inventors,7
pharmaceuticals,1987,only senior inventors,7
pharmaceuticals,1987,only senior inventors,7
pharmaceuticals,1987,new and senior inventors,6
pharmaceuticals,1987,new and senior inventors,6
pharmaceuticals,1987,new and senior inventors,6
pharmaceuticals,1987,new and senior inventors,6
pharmaceuticals,1987,new and senior inventors,6
pharmaceuticals,1987,new and senior inventors,6
civil engineering,1988,only senior inventors,1
civil engineering,1988,new and senior inventors,3
civil engineering,1988,new and senior inventors,3
civil engineering,1988,new and senior inventors,3
pharmaceuticals,1988,only new inventors,16
pharmaceuticals,1988,only new inventors,16
pharmaceuticals,1988,only new inventors,16
pharmaceuticals,1988,only new inventors,16
pharmaceuticals,1988,only new inventors,16
pharmaceuticals,1988,only new inventors,16
pharmaceuticals,1988,only new inventors,16
pharmaceuticals,1988,only new inventors,16
pharmaceuticals,1988,only new inventors,16
pharmaceuticals,1988,only new inventors,16
pharmaceuticals,1988,only new inventors,16
pharmaceuticals,1988,only new inventors,16
pharmaceuticals,1988,only new inventors,16
pharmaceuticals,1988,only new inventors,16
pharmaceuticals,1988,only new inventors,16
pharmaceuticals,1988,only new inventors,16
pharmaceuticals,1988,only senior inventors,14
pharmaceuticals,1988,only senior inventors,14
pharmaceuticals,1988,only senior inventors,14
pharmaceuticals,1988,only senior inventors,14
pharmaceuticals,1988,only senior inventors,14
pharmaceuticals,1988,only senior inventors,14
pharmaceuticals,1988,only senior inventors,14
pharmaceuticals,1988,only senior inventors,14
pharmaceuticals,1988,only senior inventors,14
pharmaceuticals,1988,only senior inventors,14
pharmaceuticals,1988,only senior inventors,14
pharmaceuticals,1988,only senior inventors,14
pharmaceuticals,1988,only senior inventors,14
pharmaceuticals,1988,only senior inventors,14
pharmaceuticals,1988,new and senior inventors,2
pharmaceuticals,1988,new and senior inventors,2
civil engineering,1989,only new inventors,4
civil engineering,1989,only new inventors,4
civil engineering,1989,only new inventors,4
civil engineering,1989,only new inventors,4
civil engineering,1989,only senior inventors,4
civil engineering,1989,only senior inventors,4
civil engineering,1989,only senior inventors,4
civil engineering,1989,only senior inventors,4
civil engineering,1989,new and senior inventors,2
civil engineering,1989,new and senior inventors,2
pharmaceuticals,1989,only new inventors,13
pharmaceuticals,1989,only new inventors,13
pharmaceuticals,1989,only new inventors,13
pharmaceuticals,1989,only new inventors,13
pharmaceuticals,1989,only new inventors,13
pharmaceuticals,1989,only new inventors,13
pharmaceuticals,1989,only new inventors,13
pharmaceuticals,1989,only new inventors,13
pharmaceuticals,1989,only new inventors,13
pharmaceuticals,1989,only new inventors,13
pharmaceuticals,1989,only new inventors,13
pharmaceuticals,1989,only new inventors,13
pharmaceuticals,1989,only new inventors,13
pharmaceuticals,1989,only senior inventors,7
pharmaceuticals,1989,only senior inventors,7
pharmaceuticals,1989,only senior inventors,7
pharmaceuticals,1989,only senior inventors,7
pharmaceuticals,1989,only senior inventors,7
pharmaceuticals,1989,only senior inventors,7
pharmaceuticals,1989,only senior inventors,7
pharmaceuticals,1989,new and senior inventors,35
pharmaceuticals,1989,new and senior inventors,35
pharmaceuticals,1989,new and senior inventors,35
pharmaceuticals,1989,new and senior inventors,35
pharmaceuticals,1989,new and senior inventors,35
pharmaceuticals,1989,new and senior inventors,35
pharmaceuticals,1989,new and senior inventors,35
pharmaceuticals,1989,new and senior inventors,35
pharmaceuticals,1989,new and senior inventors,35
pharmaceuticals,1989,new and senior inventors,35
pharmaceuticals,1989,new and senior inventors,35
pharmaceuticals,1989,new and senior inventors,35
pharmaceuticals,1989,new and senior inventors,35
pharmaceuticals,1989,new and senior inventors,35
pharmaceuticals,1989,new and senior inventors,35
pharmaceuticals,1989,new and senior inventors,35
pharmaceuticals,1989,new and senior inventors,35
pharmaceuticals,1989,new and senior inventors,35
pharmaceuticals,1989,new and senior inventors,35
pharmaceuticals,1989,new and senior inventors,35
