field,year,patent_category,gender_patent_feature,number_patents
civil engineering,1976,Solo,only men,1893
civil engineering,1976,Solo,with women,73
civil engineering,1976,Collaborative,only men,664
civil engineering,1976,Collaborative,with women,49
civil engineering,1977,Solo,only men,1811
civil engineering,1977,Solo,with women,82
civil engineering,1977,Collaborative,only men,603
civil engineering,1977,Collaborative,with women,53
civil engineering,1978,Solo,only men,1999
civil engineering,1978,Solo,with women,102
civil engineering,1978,Collaborative,only men,592
civil engineering,1978,Collaborative,with women,69
civil engineering,1979,Solo,only men,1268
civil engineering,1979,Solo,with women,44
civil engineering,1979,Collaborative,only men,356
civil engineering,1979,Collaborative,with women,61
civil engineering,1980,Solo,only men,1572
civil engineering,1980,Solo,with women,71
civil engineering,1980,Collaborative,only men,537
civil engineering,1980,Collaborative,with women,54
civil engineering,1981,Solo,only men,1775
civil engineering,1981,Solo,with women,84
civil engineering,1981,Collaborative,only men,569
civil engineering,1981,Collaborative,with women,64
civil engineering,1982,Solo,only men,1434
civil engineering,1982,Solo,with women,63
civil engineering,1982,Collaborative,only men,478
civil engineering,1982,Collaborative,with women,52
civil engineering,1983,Solo,only men,1446
civil engineering,1983,Solo,with women,51
civil engineering,1983,Collaborative,only men,523
civil engineering,1983,Collaborative,with women,46
civil engineering,1984,Solo,only men,1733
civil engineering,1984,Solo,with women,71
civil engineering,1984,Collaborative,only men,705
civil engineering,1984,Collaborative,with women,84
civil engineering,1985,Solo,only men,1599
civil engineering,1985,Solo,with women,64
civil engineering,1985,Collaborative,only men,641
civil engineering,1985,Collaborative,with women,104
civil engineering,1986,Solo,only men,1659
civil engineering,1986,Solo,with women,63
civil engineering,1986,Collaborative,only men,685
civil engineering,1986,Collaborative,with women,84
civil engineering,1987,Solo,only men,1962
civil engineering,1987,Solo,with women,86
civil engineering,1987,Collaborative,only men,797
civil engineering,1987,Collaborative,with women,86
civil engineering,1988,Solo,only men,1588
civil engineering,1988,Solo,with women,66
civil engineering,1988,Collaborative,only men,635
civil engineering,1988,Collaborative,with women,72
civil engineering,1989,Solo,only men,2041
civil engineering,1989,Solo,with women,113
civil engineering,1989,Collaborative,only men,859
civil engineering,1989,Collaborative,with women,92
civil engineering,1990,Solo,only men,1789
civil engineering,1990,Solo,with women,77
civil engineering,1990,Collaborative,only men,820
civil engineering,1990,Collaborative,with women,111
civil engineering,1991,Solo,only men,1831
civil engineering,1991,Solo,with women,87
civil engineering,1991,Collaborative,only men,884
civil engineering,1991,Collaborative,with women,124
civil engineering,1992,Solo,only men,1753
civil engineering,1992,Solo,with women,96
civil engineering,1992,Collaborative,only men,865
civil engineering,1992,Collaborative,with women,136
